address/city,address/state,address/zipcode,bathrooms,bedrooms,livingArea,yearBuilt,price
Los Angeles,CA,90037,2.0,2.0,1173.0,,2150
Los Angeles,CA,90003,1.0,,,,1050
Los Angeles,CA,90731,2.0,2.0,800.0,,1800
Los Angeles,CA,90001,3.0,5.0,3600.0,2015.0,3200
Los Angeles,CA,90710,1.0,1.0,,,1500
Los Angeles,CA,90744,1.0,1.0,590.0,,1495
Los Angeles,CA,91356,3.0,3.0,1550.0,1975.0,3500
Los Angeles,CA,90731,1.0,1.0,800.0,,1595
Los Angeles,CA,90003,2.0,3.0,2004.0,1939.0,2500
Los Angeles,CA,91316,2.0,2.0,1100.0,1962.0,2250
Los Angeles,CA,90744,1.0,1.0,750.0,2019.0,1800
Los Angeles,CA,90003,2.0,3.0,950.0,1991.0,2200
Los Angeles,CA,90710,1.0,3.0,1356.0,1951.0,2700
Los Angeles,CA,91316,4.5,4.0,3400.0,1945.0,13400
Los Angeles,CA,90744,2.0,3.0,1302.0,1983.0,2945
Los Angeles,CA,90001,3.0,5.0,1330.0,1928.0,3400
Los Angeles,CA,90731,1.0,1.0,1000.0,1980.0,2300
Los Angeles,CA,91356,2.0,3.0,1300.0,1962.0,2495
Los Angeles,CA,90744,1.0,,,,1100
Los Angeles,CA,90011,3.0,5.0,,,3400
Los Angeles,CA,90731,2.0,3.0,1508.0,1952.0,3995
Los Angeles,CA,91436,3.0,3.0,2030.0,1966.0,4995
Los Angeles,CA,90744,1.0,1.0,565.0,,1450
Los Angeles,CA,90037,1.0,1.0,440.0,1905.0,1200
Los Angeles,CA,90731,1.0,1.0,533.0,,1450
Los Angeles,CA,91356,1.5,2.0,870.0,,1850
Los Angeles,CA,90744,1.0,2.0,625.0,,1685
Los Angeles,CA,91356,1.0,1.0,652.0,,2500
Los Angeles,CA,90501,1.0,1.0,550.0,,1650
Los Angeles,CA,90001,3.5,4.0,,2013.0,2800
Los Angeles,CA,90731,1.0,3.0,1518.0,1924.0,2800
Los Angeles,CA,90731,1.0,2.0,1300.0,,1800
Los Angeles,CA,91316,2.0,2.0,1415.0,1965.0,2550
Los Angeles,CA,90011,1.0,2.0,900.0,2000.0,1995
Los Angeles,CA,90744,1.0,1.0,,1980.0,1895
Los Angeles,CA,90731,2.0,3.0,1200.0,1940.0,3100
Los Angeles,CA,91436,1.0,2.0,685.0,1957.0,2095
Los Angeles,CA,90002,1.0,3.0,1128.0,1944.0,2641
Los Angeles,CA,90744,1.0,2.0,705.0,,1765
Los Angeles,CA,90003,3.5,6.0,2000.0,2018.0,3500
Los Angeles,CA,91436,2.5,2.0,1100.0,,2775
Los Angeles,CA,90744,1.0,3.0,1600.0,1918.0,2395
Los Angeles,CA,90731,2.5,2.0,1200.0,1989.0,2100
Los Angeles,CA,91356,1.0,1.0,605.0,1973.0,1875
Los Angeles,CA,90037,2.0,2.0,,2020.0,2400
Los Angeles,CA,90744,1.0,1.0,550.0,,1135
Los Angeles,CA,90731,1.0,1.0,675.0,,1800
Los Angeles,CA,90003,1.0,1.0,600.0,1956.0,1200
